City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
453,Acapulco,MX,80.98,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
458,Bowen,AU,78.3,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
461,Sotouboua,TG,75.24,overcast clouds,8.5667,0.9833,Auberge Médina
463,Kanigiri,IN,84.47,broken clouds,15.4,79.5167,COMFORT INN
471,Santa Rosa,PH,89.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
479,Dhidhdhoo,MV,85.17,overcast clouds,6.8833,73.1,Dhidhoo beach
483,Maihar,IN,87.57,overcast clouds,24.2667,80.75,Mrig Van Resort
484,Axim,GH,79.93,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
491,Beberibe,BR,81.14,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
493,Pinotepa Nacional,MX,81.23,overcast clouds,16.3167,-98.0167,Hotel Maria Del Carmen
495,Twentynine Palms,US,89.74,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
498,Ler,SS,82.26,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
501,Belmonte,BR,75.88,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
502,Brownsville,US,81.09,broken clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
503,Tawau,MY,82.53,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
510,Sur,OM,81.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
518,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
524,Tierralta,CO,78.46,overcast clouds,8.1736,-76.0592,Hotel La Marqueza
525,Bosaso,SO,85.39,clear sky,11.2842,49.1816,Red Sea Hotel
527,San Jose,US,76.89,clear sky,37.3394,-121.895,The Westin San Jose
529,Bubaque,GW,77.58,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
535,Shahpur,IN,86.04,broken clouds,16.7,76.8333,Ashwini Hotel & Deluxe Lodge
536,Mana,GF,77.47,overcast clouds,5.6592,-53.7767,LE SAMANA
544,Umarkot,PK,84.79,overcast clouds,25.3616,69.7362,Al-Qamar Boys Hostel
546,Matara,LK,79.2,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
548,Omboue,GA,78.12,light rain,-1.5746,9.2618,Hotel Olako
562,Fomboni,KM,81.81,overcast clouds,-12.28,43.7425,Auberge les abou
563,Hobyo,SO,83.95,light rain,5.3505,48.5268,Iftin hotel hobyo
564,Pasighat,IN,75.74,overcast clouds,28.0667,95.3333,Siang Guest House
571,Sibu,MY,79.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
576,Kavaratti,IN,84.16,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
580,Morgan City,US,75.02,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
589,Pedernales,DO,76.08,overcast clouds,18.0384,-71.744,Hotel Costa Marina
593,San-Pedro,CI,80.24,scattered clouds,4.7485,-6.6363,Hotel Maria
597,Panama City,PA,82.35,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
603,Winslow,US,77.18,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
604,Dzilam Gonzalez,MX,76.87,broken clouds,21.2833,-88.9333,posadas
605,Loiza,PR,77.07,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
610,Afonso Bezerra,BR,77.52,overcast clouds,-5.4983,-36.5056,Pousada Shammah
619,Bac Lieu,VN,84.79,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
620,Gopalpur,IN,82.15,overcast clouds,19.2667,84.9167,Gopalpur Palm Resort
623,Rantepao,ID,77.13,scattered clouds,-2.9701,119.8978,Hotel Luta Resort
625,Tamandare,BR,77.0,few clouds,-8.7597,-35.1047,Pousada 100 Passos
630,Itarema,BR,78.15,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
639,San Matias,BO,80.94,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
640,Denpasar,ID,85.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
642,Charters Towers,AU,78.33,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
646,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
649,Manokwari,ID,80.29,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
655,Solosolo,WS,85.84,light rain,-13.875,-171.6418,Galusina Village Resort
656,Empalme,MX,85.35,clear sky,27.9667,-110.8167,casa alejandro lopez
658,Kiunga,PG,89.37,few clouds,-6.1219,141.2906,Airport Lodge Kiunga
663,Caucaia,BR,82.35,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
665,Alenquer,BR,75.4,overcast clouds,-1.9417,-54.7383,Detinha Hotel
668,Mersing,MY,75.11,light rain,2.4312,103.8405,Timotel Hotel
672,Jalu,LY,75.76,overcast clouds,29.0331,21.5482,صاحبة الفخامة
677,Sawakin,SD,81.05,few clouds,19.1059,37.3321,فندق الدويم
679,Half Moon Bay,US,75.54,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
684,Ailigandi,PA,79.74,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
687,Yanam,IN,81.09,broken clouds,16.7333,82.2167,The Regency Hotel
688,Kalmunai,LK,79.9,broken clouds,7.4167,81.8167,VS Villa
689,Moncagua,SV,77.4,overcast clouds,13.5333,-88.25,Heysel morataya
691,Porterville,US,78.58,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
693,Sibolga,ID,78.71,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
699,Bloomingdale,US,76.05,overcast clouds,27.8936,-82.2404,Travel Club for Free
